STT,CSDL,Ten bang DL,Ten truong DL,Ten ky thuat,Mo ta / Y nghia,Kieu du lieu,Do dai toi da,Loai khoa,Bat buoc,Cho phep trung,Danh sach gia tri,Chua DLCN,Muc do nhay cam,Chia se API,Ghi chu / Can cu phap ly
,CSDL Danh mục dùng chung,dm_dia_ban_hanh_chinh,--- Bang: dm_dia_ban_hanh_chinh ---,,,,,,,,,,,,Nền tảng địa bàn dùng chung cho mọi báo cáo — mô hình chính quyền 2 cấp (xã/tỉnh). CHUẨN MÃ: Quyết định 19/2025/QĐ-TTg
1,CSDL Danh mục dùng chung,dm_dia_ban_hanh_chinh,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
2,CSDL Danh mục dùng chung,dm_dia_ban_hanh_chinh,Mã địa bàn,ma_dia_ban,Mã đơn vị hành chính (tỉnh 2 chữ số; xã 5 chữ số),Text,10,Không,Có,Không,Tỉnh: 01-99; Xã: 00001-99999,Không,,Không,"CHUẨN: Quyết định 19/2025/QĐ-TTg - Bảng danh mục và mã số các đơn vị hành chính Việt Nam (mô hình 2 cấp, hiệu lực 01/7/2025); Cục Thống kê (Bộ Tài chính) quản lý"
3,CSDL Danh mục dùng chung,dm_dia_ban_hanh_chinh,Tên địa bàn,ten_dia_ban,Tên xã/phường/đặc khu hoặc tỉnh/thành phố,Text,200,Không,Có,Không,,Không,,Không,"Theo QĐ 19/2025/QĐ-TTg (34 tỉnh, 3.321 xã)"
4,CSDL Danh mục dùng chung,dm_dia_ban_hanh_chinh,Cấp,cap,Cấp hành chính,Text,10,Không,Có,Không,xa; tinh,Không,,Không,
5,CSDL Danh mục dùng chung,dm_dia_ban_hanh_chinh,Địa bàn cha,dia_ban_cha_id,Tỉnh quản lý (nếu cấp = xã),Số,,FK,Có,Không,,Không,,Không,
,CSDL Danh mục dùng chung,dm_loai_don_vi,--- Bang: dm_loai_don_vi ---,,,,,,,,,,,,"Điều 10, 33, 40, 46, 47, 53, 54-64 TT15/2026/TT-BYT"
6,CSDL Danh mục dùng chung,dm_loai_don_vi,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
7,CSDL Danh mục dùng chung,dm_loai_don_vi,Mã loại đơn vị,ma_loai,"vd: tram_y_te_xa, cskcb, ttksbt_tinh...",Text,40,Không,Có,Không,,Không,,Không,
8,CSDL Danh mục dùng chung,dm_loai_don_vi,Tên loại đơn vị,ten_loai,Trạm Y tế xã/ CSKCB/ Cơ sở xét nghiệm/ TTKSBT tỉnh/ Trung tâm kiểm dịch y tế quốc tế/ Viện VSDT-Pasteur/ Viện Sốt rét-KST-Côn trùng/ Viện Dinh dưỡng/ Viện SKNN&MT/ Viện YTCC TP.HCM/ Bệnh viện TW/ Bệnh viện Phổi TW/ Cục Phòng bệnh/ Cục QL KCB/ Cơ sở giáo dục/ Cơ sở bảo trợ XH/ Tổ chức kiểm dịch y tế cửa khẩu,Text,200,Không,Có,Không,,Không,,Không,
,CSDL Danh mục dùng chung,dm_don_vi,--- Bang: dm_don_vi ---,,,,,,,,,,,,"Điều 10.3, Điều 54-64 TT15 — danh sách đơn vị tham gia hệ thống báo cáo"
9,CSDL Danh mục dùng chung,dm_don_vi,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
10,CSDL Danh mục dùng chung,dm_don_vi,Mã đơn vị,ma_don_vi,"Mã cơ sở khám bệnh, chữa bệnh/đơn vị y tế",Text,20,Không,Có,Không,,Không,,Không,CHUẨN: Mã cơ sở KCB do Bộ Y tế cấp (Quyết định 5937/QĐ-BYT ngày 30/12/2021 về mã cơ sở KCB dùng chung); đối với TYT xã/đơn vị khác dùng mã liên thông của Bộ Y tế
11,CSDL Danh mục dùng chung,dm_don_vi,Tên đơn vị,ten_don_vi,,Text,300,Không,Có,Không,,Không,,Không,
12,CSDL Danh mục dùng chung,dm_don_vi,Loại đơn vị,loai_don_vi_id,Tham chiếu dm_loai_don_vi,Số,,FK,Có,Không,,Không,,Không,
13,CSDL Danh mục dùng chung,dm_don_vi,Địa bàn quản lý,dia_ban_id,Xã/tỉnh phụ trách,Số,,FK,Có,Không,,Không,,Không,
14,CSDL Danh mục dùng chung,dm_don_vi,Đơn vị quản lý trực tiếp,don_vi_cha_id,Mô hình cây báo cáo theo cấp,Số,,FK,Có,Không,,Không,,Không,
15,CSDL Danh mục dùng chung,dm_don_vi,Địa chỉ,dia_chi,,Text,500,Không,Không,Không,,Không,,Không,
16,CSDL Danh mục dùng chung,dm_don_vi,Điện thoại,dien_thoai,,Text,20,Không,Không,Không,,Không,,Không,
17,CSDL Danh mục dùng chung,dm_don_vi,Email,email,,Text,100,Không,Không,Không,,Không,,Không,
18,CSDL Danh mục dùng chung,dm_don_vi,Trạng thái hoạt động,trang_thai_hoat_dong,,Bool,,Không,Có,Không,,Không,,Không,
,CSDL Danh mục dùng chung,dm_dia_ban_phu_trach,--- Bang: dm_dia_ban_phu_trach ---,,,,,,,,,,,,"Điều 10.3 (6 Viện VSDT/Pasteur/SR-KST-CT), Điều 46.2b (Viện Dinh dưỡng...), Điều 53.4 (Viện SKNN&MT...)"
19,CSDL Danh mục dùng chung,dm_dia_ban_phu_trach,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
20,CSDL Danh mục dùng chung,dm_dia_ban_phu_trach,Viện phụ trách,vien_id,Tham chiếu dm_don_vi,Số,,FK,Có,Không,,Không,,Không,
21,CSDL Danh mục dùng chung,dm_dia_ban_phu_trach,Tỉnh phụ trách,tinh_id,Tham chiếu dm_dia_ban_hanh_chinh,Số,,FK,Có,Không,,Không,,Không,
22,CSDL Danh mục dùng chung,dm_dia_ban_phu_trach,Lĩnh vực,linh_vuc,,Text,30,Không,Có,Không,benh_truyen_nhiem; khong_lay_nhiem; roi_loan_tam_than; dinh_duong; thuong_tich,Không,,Không,
,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,--- Bang: dm_benh_truyen_nhiem ---,,,,,,,,,,,,"Danh mục 01 - Phụ lục I QĐ97 (46 bệnh); Điều 14, 15, Phụ lục I TT15 (công thức phân loại)"
23,CSDL Danh mục dùng chung,dm_benh_truyen_nhiem,Mã định danh,id,Khoá chính,Số,,PK,Có,Không,,Không,,Không,
